city,country,continent,regions
Tokyo,Japan,Asia,
Nur-Sultan,Kazakhstan,Asia,
Doha,Qatar,Asia,
Moscow,Russia,Asia,
St. Petersburg,Russia,Asia,
Singapore,Singapore,Asia,
Seoul,South Korea,Asia,
Ankara,Turkey,Asia,
Istanbul,Turkey,Asia,
Abu Dhabi,United Arab Emirates,Asia,
Dubai,United Arab Emirates,Asia,
Tirana,Albania,Europe,
Yerevan,Armenia,Europe,
Vienna,Austria,Europe,
Baku,Azerbaijan,Europe,
Minsk,Belarus,Europe,
Antwerp,Belgium,Europe,
Brussels,Belgium,Europe,
Gent,Belgium,Europe,
Sarajevo,Bosnia and Herzegovina,Europe,
Sofia,Bulgaria,Europe,
Zagreb,Croatia,Europe,
Nicosia,Cyprus,Europe,
Brno,Czech Republic,Europe,
Ostrava,Czech Republic,Europe,
Prague,Czech Republic,Europe,
Copenhagen,Denmark,Europe,['Copenhagen Municipality']
Tallinn,Estonia,Europe,
Espoo,Finland,Europe,
Helsinki,Finland,Europe,
Oulu,Finland,Europe,
Tampere,Finland,Europe,
Bordeaux,France,Europe,
Lille,France,Europe,
Lyon,France,Europe,
Marseille,France,Europe,
Nantes,France,Europe,
Nice,France,Europe,
Paris,France,Europe,"[('R5833187',)]"
Toulouse,France,Europe,
Tbilisi,Georgia,Europe,
Aachen,Germany,Europe,
Berlin,Germany,Europe,
Cologne,Germany,Europe,
Erfurt,Germany,Europe,
Frankfurt,Germany,Europe,
Hamburg,Germany,Europe,
Karlsruhe,Germany,Europe,
Leipzig,Germany,Europe,
Mannheim,Germany,Europe,
Munich,Germany,Europe,
Athens,Greece,Europe,"['Regional Unit of Central Athens', 'Regional Unit of North Athens', 'Regional Unit of West Athens', 'Regional Unit of South Athens', 'Regional Unit of Piraeus']"
Budapest,Hungary,Europe,
Reykjavik,Iceland,Europe,
Dublin,Ireland,Europe,
Florence,Italy,Europe,
Genoa,Italy,Europe,
Milan,Italy,Europe,
Palermo,Italy,Europe,
Rome,Italy,Europe,
Turin,Italy,Europe,
Venice,Italy,Europe,
Riga,Latvia,Europe,
Vilnius,Lithuania,Europe,
Luxembourg City,Luxembourg,Europe,
Valletta,Malta,Europe,
Kishinev,Moldova,Europe,
Podgorica,Montenegro,Europe,
Amsterdam,Netherlands,Europe,
Skopje,North Macedonia,Europe,
Oslo,Norway,Europe,
Białystok,Poland,Europe,
Bydgoszcz,Poland,Europe,
Częstochowa,Poland,Europe,
Gdańsk,Poland,Europe,
Gdynia,Poland,Europe,
Katowice,Poland,Europe,
Kraków,Poland,Europe,
Lublin,Poland,Europe,
Poznań,Poland,Europe,
Radom,Poland,Europe,
Sopot,Poland,Europe,
Szczecin,Poland,Europe,
Trójmiasto,Poland,Europe,"['Gdańsk','Gdynia','Sopot']"
Warszawa,Poland,Europe,
Wrocław,Poland,Europe,
Zielona Góra,Poland,Europe,
Łódź,Poland,Europe,
Świdnica,Poland,Europe,
Lisbon,Portugal,Europe,
Bucharest,Romania,Europe,
Belgrade,Serbia,Europe,
Bratislava,Slovakia,Europe,
Ljubljana,Slovenia,Europe,
Barcelona,Spain,Europe,
Bilbao,Spain,Europe,"['Greater Bilbao,Spain']"
Madrid,Spain,Europe,
Seville,Spain,Europe,
Valencia,Spain,Europe,
Zaragoza,Spain,Europe,
Göteborg,Sweden,Europe,
Stockholm,Sweden,Europe,
Bern,Switzerland,Europe,
Zurich,Switzerland,Europe,
Kyiv,Ukraine,Europe,
Cardiff,United Kingdom,Europe,"[('R1625787',)]"
Glasgow City,United Kingdom,Europe,
London,United Kingdom,Europe,"['London', 'City of London']"
Toronto,Canada,North America,
Chicago,United States,North America,
Las Vegas,United States,North America,
Los Angeles,United States,North America,
New York City,United States,North America,
Philadelphia,United States,North America,
San Francisco,United States,North America,
Washington D.C.,United States,North America,
Sydney,Australia,Oceania,